,imdb_id,imdb_rating,imdb_votes,title,year_of_release,genres
2460,tt0248428,8.1,2804,Shiva,1989,Action|Crime|Drama
2461,tt0261296,4.9,38,Shaitani Ilaaka,1990,Horror
2462,tt0363915,6,29,Pyar Ke Naam Qurbaan,1990,Action|Drama|Romance
2463,tt0155073,6.6,21,Pyar Ka Karz,1990,Drama
2464,tt0363921,4.1,15,Raeeszada,1990,Drama
2465,tt0359971,4.6,59,Sheshnaag,1990,Fantasy|Thriller
2466,tt0173188,5.4,34,Shandaar,1990,Drama
2467,tt0359967,5,21,Sher Dil,1990,Action|Drama
2468,tt0362223,4.8,36,Tejaa,1990,Action|Drama
2469,tt0173283,6.6,962,Swarg,1990,Drama
2470,tt0360145,4.5,21,Veeru Dada,1990,Action|Adventure|Drama
2471,tt0172622,5.1,82,Zahreelay,1990,Action
2472,tt0978726,4.9,22,Taqdeer Ka Tamasha,1990,Action|Crime|Drama
2473,tt0250043,7,170,Thodasa Roomani Ho Jaayen,1990,Comedy|Drama|Musical
2474,tt0098461,5.6,337,Thanedaar,1990,Action|Crime|Drama
2475,tt0098168,6.8,1993,Ram Lakhan,1989,Action|Drama|Musical
2476,tt0233146,5,44,Asmaan Se Ooncha,1989,Action|Drama|Family
2477,tt0100816,6.3,1602,Tridev,1989,Action|Crime|Drama
2478,tt0122427,6.7,1298,Chaalbaaz,1989,Action|Comedy|Drama
2479,tt0096896,6.5,165,Batwara,1989,Action|Drama
2480,tt0231214,5.8,41,Bade Ghar Ki Beti,1989,Drama
2481,tt0349122,6.7,66,Bahurani,1989,Comedy|Drama|Family
2482,tt0096922,4.7,102,Bhrashtachar,1989,Action|Crime|Drama
2483,tt0100095,7.3,10089,Maine Pyar Kiya,1989,Drama|Family|Musical
2484,tt0405852,5.6,56,Daata,1989,Action|Drama
2485,tt0926191,4.1,13,Dav Pech,1989,Action
2486,tt0097143,7.4,172,Daddy,1989,Drama
2487,tt0373778,5.4,16,Dana Paani,1989,Action|Crime|Drama
2488,tt0097045,6.8,1425,Chandni,1989,Drama|Musical|Romance
2489,tt0097264,7.3,418,Eeshwar,1989,Drama|Family|Musical
2490,tt0359169,5.3,91,Do Qaidi,1989,Action|Adventure
2491,tt0187043,5.5,68,Gair Kaanooni,1989,Action|Comedy|Drama
2492,tt0215789,5.2,31,Gawaahi,1989,Mystery
2493,tt0172509,6,37,Goonj,1989,Action|Crime|Drama
2494,tt0172509,6,37,Goonj,1989,Action|Crime|Drama
2495,tt0172509,6,37,Goonj,1989,Action|Crime|Drama
2496,tt0172509,6,37,Goonj,1989,Action|Crime|Drama
2497,tt0093182,6.3,241,Hero Hiralal,1988,Action|Comedy|Drama
2498,tt0363634,6.1,56,Ghar Ka Chiraag,1989,Drama
2499,tt0097466,6.6,94,Guru,1989,Crime
